,Country from our model,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
49,Fiji,FJI,0.004060967,0.0005240766,0.0059113884,0.014681909,0.17297238,0.008589253,0.013728406,0.0001973259,0.00014585647,0.00014585647,0.00014585647,0.00014585647,0.00014585647,0.00011782265,0.00018074644,0.00020371424,0.00012004005,0.0008874763,0.0033193564,0.0030029148,0.013705073,0.0102222115,0.03363489,0.08329957,0.014189572,0.011475816,0.002068224,0.0011410145,0.00069221936,0.00053200894,0.00037530673,0.0004929554,0.005115202
50,Finland,FIN,0.0032169505,0.0149801625,0.008487153,0.006167621,0.03264732,0.023028322,0.0014726704,0.0008924837,0.0013759723,0.0019218122,0.0019218122,0.0027719908,0.0027719908,0.0027719908,0.0028210096,0.0019558242,0.0031605496,0.0031605496,0.0019558242,0.001287487,0.0016773056,0.0016773056,0.003836261,0.0027004133,0.0027004133,0.0014471565,0.0026235974,0.003874605,0.003874605,0.003874605,0.0026235974,0.0027004133,0.0027004133
51,France,FRA,0.025585564,0.0016354868,0.0014307711,0.0014307711,0.0014307711,0.0010417218,0.0010417218,0.0010417218,0.0018275516,0.0018275516,0.0014726704,0.0010123266,0.0020931868,0.0039037273,0.0039037273,0.0039037273,0.0039037273,0.008902872,0.07071174,0.004737563,0.004737563,0.0022943637,0.0155212255,0.022781698,0.030199101,0.05722179,0.2176058,0.052350614,0.052350614,0.052350614,0.085081,0.085081,0.237273
52,Gabon,GAB,0.017968338,0.0307109,0.009792634,0.004118956,0.0013926625,0.004070302,0.014923157,0.06180598,0.36731517,0.3587676,0.027951634,0.0056293975,0.0040810965,0.0043822494,0.017790053,0.008493648,0.013652006,0.0007797977,0.00025715987,0.00028730076,0.00032924622,0.0005216564,0.00078498834,0.0003530732,0.00051201624,0.0006374336,0.0011080407,0.0027209257,0.0043901247,0.00521915,0.009941468,0.008469331,0.008408015
53,Gambia,GMB,0.00512387,0.00474005,0.0030299374,0.001980074,0.00030375546,0.0010786519,0.051323473,0.2598865,0.074461386,0.12183626,0.09916615,0.0035452887,0.004687532,0.0053611193,0.015259552,0.0052784337,0.0024977066,0.0028272334,0.02252097,0.030565282,0.0069057997,0.00796623,0.010530178,0.0044012307,0.0059947353,0.20390311,0.0030320063,0.007065023,0.0037223133,0.33982614,0.1229509,0.088120304,0.10256642
54,Georgia,GEO,0.016421322,0.49439642,0.20030916,0.05653909,0.010772193,0.00555582,0.057973802,0.45602524,0.09999954,0.2748392,0.42429388,0.4560309,0.0190074,0.010165031,0.0071925693,0.0021760054,0.41490108,0.3567763,0.022619236,0.020246001,0.014026565,0.027833724,0.042438406,0.008131348,0.004550354,0.0011646715,0.0011646715,0.0013023366,0.0013688672,0.0023334913,0.0033377286,0.0019954692,0.0008079631
55,Germany,DEU,0.01935784,0.0007200924,0.013696833,0.012761387,0.031107085,0.024731485,0.0025566358,0.001317402,0.0010834932,0.0010834932,0.0006710498,0.0012542097,0.0012542097,0.0012542097,0.0014190611,0.0009433366,0.00053450663,0.00053450663,0.0004065483,0.00053450663,0.00053450663,0.00060374074,0.001083819,0.001083819,0.0017495163,0.0017495163,0.0032637648,0.0032637648,0.0032637648,0.0075364695,0.0057419105,0.00089240377,0.00089240377
56,Ghana,GHA,0.027126055,0.015257568,0.03969523,0.03969523,0.01583951,0.13534003,0.0027995955,0.0076537547,0.004206616,0.004206616,0.004094174,0.005194213,0.056846835,0.031225305,0.17253718,0.25320292,0.040844772,0.05852281,0.036680974,0.017258452,0.06367123,0.07831522,0.08975062,0.11781927,0.20399004,0.20399004,0.18822838,0.03613528,0.036612794,0.036612794,0.027242882,0.015659025,0.056778856
57,Greece,GRC,0.04480461,0.016899576,0.016899576,0.016899576,0.016899576,0.03669618,0.0428626,0.024436573,0.024436573,0.026029253,0.03310445,0.046186134,0.027797112,0.032278515,0.011495587,0.015061144,0.04201628,0.015061144,0.12965517,0.38196483,0.94542944,0.91206574,0.8453712,0.9797347,0.742814,0.6362771,0.5367681,0.6517757,0.58355397,0.58355397,0.5158974,0.8856334,0.30960932
58,Grenada,GRD,0.0047996906,0.00036872618,0.00047591445,0.00028419803,0.0003340766,0.00026452017,0.00023920173,8.680339e-05,0.00012017417,0.00020126403,0.00020242415,0.00020242415,0.00020126403,0.00020126403,0.0002547996,0.00015214397,0.0002547996,0.00017233001,0.002229762,0.0012902791,0.0025217289,0.004957308,0.00088579056,0.0017440825,0.0012699474,0.00023024753,0.0003364604,0.00056341186,0.0008328842,0.0010714572,0.00091158604,0.001960845,0.0017554397
59,Guatemala,GTM,0.00044805434,0.00012920816,0.0005508833,0.0017811431,0.00053373637,0.0007628818,0.0010117906,0.0060724434,0.004301262,0.0071975356,0.008518348,0.082513,0.014214626,0.23144169,0.89608496,0.85901904,0.77366585,0.6799853,0.8627248,0.24605657,0.56147474,0.5868525,0.460389,0.5765882,0.17494577,0.0075747995,0.06388875,0.01562655,0.012734813,0.0018476009,0.002037468,0.0018066965,0.0016728449
